IdAlg,Procesos,Prank,Tamaño,Tiempo
CANNON,4,0,600,1.601726
CANNON,4,1,600,1.370173
CANNON,4,2,600,1.319319
CANNON,4,3,600,1.751263
CANNON,4,0,1200,11.038413
CANNON,4,1,1200,9.956383
CANNON,4,2,1200,10.326024
CANNON,4,3,1200,13.285538
CANNON,4,0,1500,21.743693
CANNON,4,1,1500,20.772918
CANNON,4,2,1500,20.916476
CANNON,4,3,1500,26.502397
CANNON,4,0,400,0.355485
CANNON,4,1,400,0.353972
CANNON,4,2,400,0.329801
CANNON,4,3,400,0.372984
